src_link,description,Micrograph_Number,micrometer_values
https://www.doitpoms.ac.uk/miclib/micrographs/small/000030.jpg,"Micrograph
30: 
Cu 70, Zn 30 (wt%), annealed and cold rolledSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy40 μm","Micrograph
30",40 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000031.jpg,"Micrograph
31: 
Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twinsSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy400 μm","Micrograph
31",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000032.jpg,"Micrograph
32: 
Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twinsSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy40 μm","Micrograph
32",40 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000033.jpg,"Micrograph
33: 
Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twinsSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy400 μm","Micrograph
33",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000034.jpg,"Micrograph
34: 
Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twinsSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy80 μm","Micrograph
34",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000035.jpg,"Micrograph
35: 
Cu 70, Zn 30 (wt%), faster recrystallisation - finer grain sizeSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy80 μm","Micrograph
35",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000036.jpg,"Micrograph
36: 
Cu 60, Zn 40 (wt%), quenched - metastablebgrainsSystem: 
Cu-Zn, 
Composition: 
Cu 60, Zn 40 (wt%)Reflected light microscopy400 μm","Micrograph
36",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000037.jpg,"Micrograph
37: 
Cu 70, Zn 30 (wt%), slow cooling - annealing twinsSystem: 
Cu-Zn, 
Composition: 
Cu 70, Zn 30 (wt%)Reflected light microscopy400 μm","Micrograph
37",400 µm
https://www.doitpoms.ac.uk/miclib//images/tpl/uoc-logo.jpg,,,
https://www.doitpoms.ac.uk/miclib/micrographs/small/000038.jpg,"Micrograph
38: 
Cu 98, Be 2 (wt%), slow cooling - annealing twinsSystem: 
Cu-Be, 
Composition: 
Cu 98, Be 2 (wt%)Reflected light microscopy400 μm","Micrograph
38",400 µm
